ID	CODE	NAME
1	6	МЕТР
2	55	КВАДРАТНЫЙ МЕТР
3	166	КИЛОГРАММ
4	163	ГРАММ
5	113	КУБИЧЕСКИЙ МЕТР
6	112	ЛИТР
7	797	СТО ШТУК
8	715	ПАРА
9	798	ТЫСЯЧА ШТУК
10	796	ШТУКА
11	306	ГРАММ ДЕЛЯЩИХСЯ ИЗОТОПОВ
12	185	ГРУЗОПОДЪЕМНОСТЬ В ТОННАХ
13	861	КИЛОГРАММ АЗОТА
14	859	КИЛОГРАММ ГИДРОКСИДА КАЛИЯ
15	863	КИЛОГРАММ ГИДРОКСИДА НАТРИЯ
16	852	КИЛОГРАММ ОКСИДА КАЛИЯ
17	841	КИЛОГРАММ ПЕРОКСИДА ВОДОРОДА
18	865	КИЛОГРАММ ПЯТИОКИСИ ФОСФОРА
19	845	КИЛОГРАММ 90 %-ГО СУХОГО ВЕЩЕСТВА
20	867	КИЛОГРАММ УРАНА
21	831	ЛИТР ЧИСТОГО (100%) СПИРТА
22	162	МЕТРИЧЕСКИЙ КАРАТ(1КАРАТ=2*10(-4)КГ
23	246	1000 КИЛОВАТТ-ЧАС
24	305	КЮРИ
25	111	КУБИЧЕСКИЙ САНТИМЕТР
26	130	1000 ЛИТРОВ
27	114	1000 КУБИЧЕСКИХ МЕТРОВ
28	168	ТОННА, МЕТРИЧЕСКАЯ ТОННА (1000 КГ)
29	251	ЛОШАДИНАЯ СИЛА
30	214	КИЛОВАТТ
