ID	CODE	NAME
1	AB	АБХАЗИЯ
2	AU	АВСТРАЛИЯ
3	AT	АВСТРИЯ
4	AZ	АЗЕРБАЙДЖАН
5	AL	АЛБАНИЯ
6	DZ	АЛЖИР
7	AS	АМЕРИКАНСКОЕ САМОА
8	AI	АНГИЛЬЯ
9	AO	АНГОЛА
10	AD	АНДОРРА
11	AQ	АНТАРКТИДА
12	AG	АНТИГУА И БАРБУДА
13	AR	АРГЕНТИНА
14	AM	АРМЕНИЯ
15	AW	АРУБА
16	AF	АФГАНИСТАН
17	BS	БАГАМЫ
18	BD	БАНГЛАДЕШ
19	BB	БАРБАДОС
20	BH	БАХРЕЙН
21	BY	БЕЛАРУСЬ
22	BZ	БЕЛИЗ
23	BE	БЕЛЬГИЯ
24	BJ	БЕНИН
25	BM	БЕРМУДЫ
26	BG	БОЛГАРИЯ
27	BO	БОЛИВИЯ (МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО)
28	BQ	БОНЭЙР,СИНТ-ЭСТАТИУС И САБА
29	BA	БОСНИЯ И ГЕРЦЕГОВИНА
30	BW	БОТСВАНА
31	BR	БРАЗИЛИЯ
32	IO	БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНД.ОКЕАНЕ
33	BN	БРУНЕЙ-ДАРУССАЛАМ
34	BF	БУРКИНА-ФАСО
35	BI	БУРУНДИ
36	BT	БУТАН
37	VU	ВАНУАТУ
38	HU	ВЕНГРИЯ
39	VE	ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА)
40	VG	ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)
41	VI	ВИРГИНСКИЕ ОСТРОВА (США)
42	VN	ВЬЕТНАМ
43	GA	ГАБОН
44	HT	ГАИТИ
45	GY	ГАЙАНА
46	GM	ГАМБИЯ
47	GH	ГАНА
48	GP	ГВАДЕЛУПА
49	GT	ГВАТЕМАЛА
50	GN	ГВИНЕЯ
51	GW	ГВИНЕЯ-БИСАУ
52	DE	ГЕРМАНИЯ
53	GG	ГЕРНСИ
54	GI	ГИБРАЛТАР
55	HN	ГОНДУРАС
56	HK	ГОНКОНГ
57	GD	ГРЕНАДА
58	GL	ГРЕНЛАНДИЯ
59	GR	ГРЕЦИЯ
60	GE	ГРУЗИЯ
61	YY	ГРУЗИЯ (вне СНГ)
62	GU	ГУАМ
63	DK	ДАНИЯ
64	JE	ДЖЕРСИ
65	DJ	ДЖИБУТИ
66	DM	ДОМИНИКА
67	DO	ДОМИНИКАНСКАЯ РЕСПУБЛИКА
68	EG	ЕГИПЕТ
69	ZM	ЗАМБИЯ
70	EH	ЗАПАДНАЯ САХАРА
71	ZW	ЗИМБАБВЕ
72	IL	ИЗРАИЛЬ
73	IN	ИНДИЯ
74	ID	ИНДОНЕЗИЯ
75	JO	ИОРДАНИЯ
76	IQ	ИРАК
77	IR	ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)
78	IE	ИРЛАНДИЯ
79	IS	ИСЛАНДИЯ
80	ES	ИСПАНИЯ
81	IT	ИТАЛИЯ
82	YE	ЙЕМЕН
83	CV	КАБО-ВЕРДЕ
84	KZ	КАЗАХСТАН
85	KH	КАМБОДЖА
86	CM	КАМЕРУН
87	CA	КАНАДА
88	QA	КАТАР
89	KE	КЕНИЯ
90	CY	КИПР
91	KI	КИРИБАТИ
92	CN	КИТАЙ
93	CC	КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА
94	CO	КОЛУМБИЯ
95	KM	КОМОРЫ
96	CG	КОНГО
97	CD	КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
98	KP	КОРЕЯ (НАРОДНО-ДЕМОКРАТИЧ. РЕСПУБЛИКА)
99	KR	КОРЕЯ, РЕСПУБЛИКА
100	CR	КОСТА-РИКА
101	CI	КОТ Д'ИВУАР
102	CU	КУБА
103	KW	КУВЕЙТ
104	KG	КЫРГЫЗСТАН
105	CW	КЮРАСАО
106	LA	ЛАОССКАЯ НАРОДНО-ДЕМОК. РЕСПУБЛИКА
107	LV	ЛАТВИЯ
108	LS	ЛЕСОТО
109	LR	ЛИБЕРИЯ
110	LB	ЛИВАН
111	LY	ЛИВИЯ
112	LT	ЛИТВА
113	LI	ЛИХТЕНШТЕЙН
114	LU	ЛЮКСЕМБУРГ
115	MU	МАВРИКИЙ
116	MR	МАВРИТАНИЯ
117	MG	МАДАГАСКАР
118	YT	МАЙОТТА
119	MO	МАКАО
120	MW	МАЛАВИ
121	MY	МАЛАЙЗИЯ
122	ML	МАЛИ
123	UM	МАЛЫЕ ТИХООКЕАН.ОТДАЛЕН.ОСТ-ВА С.Ш.
124	MV	МАЛЬДИВЫ
125	MT	МАЛЬТА
126	MA	МАРОККО
127	MQ	МАРТИНИКА
128	MH	МАРШАЛЛОВЫ ОСТРОВА
129	MX	МЕКСИКА
130	FM	МИКРОНЕЗИЯ (ФЕДЕРАТИВНЫЕ ШТАТЫ)
131	MZ	МОЗАМБИК
132	MD	МОЛДОВА, РЕСПУБЛИКА
133	MC	МОНАКО
134	MN	МОНГОЛИЯ
135	MS	МОНТСЕРРАТ
136	MM	МЬЯНМА
137	NA	НАМИБИЯ
138	NR	НАУРУ
139	NNN	НЕИЗВЕСТНАЯ СТРАНА
140	NP	НЕПАЛ
141	NE	НИГЕР
142	NG	НИГЕРИЯ
143	NL	НИДЕРЛАНДЫ
144	NI	НИКАРАГУА
145	NU	НИУЭ
146	NZ	НОВАЯ ЗЕЛАНДИЯ
147	NC	НОВАЯ КАЛЕДОНИЯ
148	NO	НОРВЕГИЯ
149	AE	ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
150	OM	ОМАН
151	BV	ОСТРОВ БУВЕ
152	IM	ОСТРОВ МЭН
153	NF	ОСТРОВ НОРФОЛК
154	CX	ОСТРОВ РОЖДЕСТВА
155	HM	ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД
156	KY	ОСТРОВА КАЙМАН
157	CK	ОСТРОВА КУКА
158	TC	ОСТРОВА ТЕРКС И КАЙКОС
159	PK	ПАКИСТАН
160	PW	ПАЛАУ
161	PS	ПАЛЕСТИНА, ГОСУДАРСТВО
162	PA	ПАНАМА
163	VA	ПАПСКИЙ ПРЕСТОЛ(ГОС.-ГОРОД ВАТИКАН)
164	PG	ПАПУА НОВАЯ ГВИНЕЯ
165	PY	ПАРАГВАЙ
166	PE	ПЕРУ
167	PN	ПИТКЕРН
168	PL	ПОЛЬША
169	PT	ПОРТУГАЛИЯ
170	PR	ПУЭРТО-РИКО
171	RE	РЕЮНЬОН
172	RU	РОССИЯ
173	RW	РУАНДА
174	RO	РУМЫНИЯ
175	WS	САМОА
176	SM	САН-МАРИНО
177	ST	САН-ТОМЕ И ПРИНСИПИ
178	SA	САУДОВСКАЯ АРАВИЯ
179	SH	СВ.ЕЛЕНА,О.ВОЗНЕС.,ТРИСТАН-ДА-КУНЬЯ
180	MK	СЕВЕРНАЯ МАКЕДОНИЯ
181	MP	СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА
182	SC	СЕЙШЕЛЫ
183	BL	СЕН-БАРТЕЛЕМИ
184	MF	СЕН-МАРТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ)
185	SX	СЕН-МАРТЕН(НИДЕРЛАНДСКАЯ ЧАСТЬ)
186	SN	СЕНЕГАЛ
187	VC	СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
